,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
831,16649055,"40 CLEVELAND ST, SAN FRANCISCO, CA, 94103",CLEVELAND ST,South of Market,"(37.77652173, -122.40699119)",POINT (-122.406991188 37.776521725),South of Market,POINT (-122.40699119 37.77652173)
834,16637808,"1051 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77761846, -122.40649013)",POINT (-122.40649013 37.777618461),South of Market,POINT (-122.40649013 37.77761846)
836,16639498,"356 6TH ST, SAN FRANCISCO, CA, 94107",6TH ST,South of Market,"(37.77761935, -122.40475373)",POINT (-122.404753734 37.777619352),South of Market,POINT (-122.40475373 37.77761935)
851,16648801,Intersection of 7TH ST and MISSION ST,7TH ST,South of Market,"(37.7792144, -122.41096281)",POINT (-122.41096281 37.7792144),South of Market,POINT (-122.41096281 37.7792144)
859,16639823,"246 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.7790498, -122.4041407)",POINT (-122.4041407 37.7790498),South of Market,POINT (-122.4041407 37.7790498)
861,16648419,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77281489, -122.40658682)",POINT (-122.406586817 37.77281489),South of Market,POINT (-122.40658682 37.77281489)
880,16653147,"112 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77904507, -122.41077036)",POINT (-122.41077036 37.77904507),South of Market,POINT (-122.41077036 37.77904507)
883,16644781,"1089 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.780675, -122.4121386)",POINT (-122.4121386 37.780675),South of Market,POINT (-122.4121386 37.780675)
888,16637368,"541 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.7719725, -122.40638166)",POINT (-122.406381657 37.771972502),South of Market,POINT (-122.40638166 37.7719725)
903,16639238,Intersection of FALMOUTH ST and SHIPLEY ST,FALMOUTH ST,South of Market,"(37.77898972, -122.40387065)",POINT (-122.403870655 37.778989718),South of Market,POINT (-122.40387065 37.77898972)
905,16645095,"973 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77418228, -122.41629475)",POINT (-122.416294752 37.774182278),South of Market,POINT (-122.41629475 37.77418228)
907,16653375,"31 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77901, -122.407015)",POINT (-122.407015 37.77901),South of Market,POINT (-122.407015 37.77901)
909,16651320,"498 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78065145, -122.40814179)",POINT (-122.40814179 37.78065145),South of Market,POINT (-122.40814179 37.78065145)
912,16667140,"1143 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7784347, -122.4119039)",POINT (-122.4119039 37.7784347),South of Market,POINT (-122.4119039 37.7784347)
913,16655900,"535 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.7808396, -122.4098212)",POINT (-122.4098212 37.7808396),South of Market,POINT (-122.4098212 37.7808396)
918,16657018,"325 9TH ST, SAN FRANCISCO, CA, 94103",9TH ST,South of Market,"(37.7736174, -122.4109664)",POINT (-122.4109664 37.7736174),South of Market,POINT (-122.4109664 37.7736174)
921,16668569,"1032 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7792207, -122.4079119)",POINT (-122.4079119 37.7792207),South of Market,POINT (-122.4079119 37.7792207)
922,16667048,"964 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7804889, -122.4063688)",POINT (-122.4063688 37.7804889),South of Market,POINT (-122.4063688 37.7804889)
925,16656934,"77 FALMOUTH ST, SAN FRANCISCO, CA, 94107",FALMOUTH ST,South of Market,"(37.77907225, -122.4040073)",POINT (-122.404007303 37.779072251),South of Market,POINT (-122.4040073 37.77907225)
931,16661331,"951 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77061944, -122.40613403)",POINT (-122.406134027 37.770619436),South of Market,POINT (-122.40613403 37.77061944)
955,16661581,"1025 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77919068, -122.40771825)",POINT (-122.407718249 37.779190676),South of Market,POINT (-122.40771825 37.77919068)
961,16665845,"256 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.77884647, -122.40416525)",POINT (-122.404165252 37.778846473),South of Market,POINT (-122.40416525 37.77884647)
966,16661603,"964 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.78046227, -122.40642547)",POINT (-122.406425475 37.780462274),South of Market,POINT (-122.40642547 37.78046227)
981,16671128,"40 CLEVELAND ST, SAN FRANCISCO, CA, 94103",CLEVELAND ST,South of Market,"(37.77658503, -122.4069434)",POINT (-122.406943404 37.776585029),South of Market,POINT (-122.4069434 37.77658503)
983,16655124,"105 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.7788731, -122.4081483)",POINT (-122.4081483 37.7788731),South of Market,POINT (-122.4081483 37.7788731)
985,16656547,"17 DECATUR ST, SAN FRANCISCO, CA, 94103",DECATUR ST,Showplace Square,"(37.77259686, -122.40636032)",POINT (-122.406360317 37.772596861),South of Market,POINT (-122.40636032 37.77259686)
988,16659203,"580 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778775, -122.40956167)",POINT (-122.409561667 37.778775),South of Market,POINT (-122.40956167 37.778775)
996,16670435,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77222708, -122.40637291)",POINT (-122.406372911 37.772227079),South of Market,POINT (-122.40637291 37.77222708)
999,16666861,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78019013, -122.39891764)",POINT (-122.398917644 37.78019013),South of Market,POINT (-122.39891764 37.78019013)
1001,16656028,"1123 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77618252, -122.40828419)",POINT (-122.408284194 37.776182522),South of Market,POINT (-122.40828419 37.77618252)
1004,16657405,"135 HARRIET ST, SAN FRANCISCO, CA, 94103",HARRIET ST,South of Market,"(37.77786252, -122.40573205)",POINT (-122.405732045 37.777862517),South of Market,POINT (-122.40573205 37.77786252)
1016,16658815,"65 9TH ST, SAN FRANCISCO, CA, 94103",9TH ST,South of Market,"(37.77670618, -122.41517387)",POINT (-122.41517387 37.77670618),South of Market,POINT (-122.41517387 37.77670618)
1019,16655566,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77885772, -122.40955967)",POINT (-122.40955967 37.77885772),South of Market,POINT (-122.40955967 37.77885772)
1028,16666001,"1021 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7805042, -122.40921842)",POINT (-122.409218425 37.7805042),South of Market,POINT (-122.40921842 37.7805042)
1034,16669491,Intersection of I-80 EASTBOUND and I-80 TO HWY 101 RAMP,I-80 EASTBOUND,Showplace Square,"(37.7700723, -122.4053664)",POINT (-122.4053664 37.7700723),South of Market,POINT (-122.4053664 37.7700723)
1037,16669967,"1000 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.777274, -122.4046496)",POINT (-122.4046496 37.777274),South of Market,POINT (-122.4046496 37.777274)
1038,16661912,"112 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77899303, -122.41088091)",POINT (-122.41088091 37.77899303),South of Market,POINT (-122.41088091 37.77899303)
1039,16659855,"581 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77867355, -122.40956731)",POINT (-122.409567305 37.778673548),South of Market,POINT (-122.40956731 37.77867355)
1042,16668442,"1000 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77717692, -122.40440332)",POINT (-122.404403323 37.777176922),South of Market,POINT (-122.40440332 37.77717692)
1043,16659887,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77885401, -122.40956537)",POINT (-122.40956537 37.77885401),South of Market,POINT (-122.40956537 37.77885401)
1046,16665322,"1151 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.778183, -122.411975)",POINT (-122.411975 37.778183),South of Market,POINT (-122.411975 37.778183)
1051,16657319,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77822861, -122.41185028)",POINT (-122.41185028 37.77822861),South of Market,POINT (-122.41185028 37.77822861)
1057,16666387,"1133 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77848556, -122.41172332)",POINT (-122.411723319 37.77848556),South of Market,POINT (-122.41172332 37.77848556)
1059,16670427,"465 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78076566, -122.40680773)",POINT (-122.40680773 37.78076566),South of Market,POINT (-122.40680773 37.78076566)
1066,16655896,"535 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.7808396, -122.4098212)",POINT (-122.4098212 37.7808396),South of Market,POINT (-122.4098212 37.7808396)
1073,16655311,"1123 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77615926, -122.40818699)",POINT (-122.408186994 37.77615926),South of Market,POINT (-122.40818699 37.77615926)
1088,16670632,"1331 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.7732917, -122.4117802)",POINT (-122.4117802 37.7732917),South of Market,POINT (-122.4117802 37.7732917)
1089,16658204,"498 BRANNAN ST, SAN FRANCISCO, CA, 94107",BRANNAN ST,South of Market,"(37.77851974, -122.39642404)",POINT (-122.396424039 37.778519741),South of Market,POINT (-122.39642404 37.77851974)
1096,16669894,"365 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77211898, -122.4115964)",POINT (-122.411596398 37.772118983),South of Market,POINT (-122.4115964 37.77211898)
1113,16659165,Intersection of HARRISON ST and LANGTON ST,HARRISON ST,South of Market,"(37.77497681, -122.40685479)",POINT (-122.406854789 37.774976815),South of Market,POINT (-122.40685479 37.77497681)
1116,16669495,"9 DECATUR ST, SAN FRANCISCO, CA, 94103",DECATUR ST,Showplace Square,"(37.7724926, -122.4060947)",POINT (-122.4060947 37.7724926),South of Market,POINT (-122.4060947 37.7724926)
1117,16657382,Intersection of FALMOUTH ST and SHIPLEY ST,FALMOUTH ST,South of Market,"(37.77897167, -122.40387)",POINT (-122.40387 37.778971667),South of Market,POINT (-122.40387 37.77897167)
1120,16667631,"935 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77405157, -122.41535554)",POINT (-122.415355543 37.774051574),South of Market,POINT (-122.41535554 37.77405157)
1129,16658928,Intersection of FALMOUTH ST and SHIPLEY ST,FALMOUTH ST,South of Market,"(37.77899209, -122.40386315)",POINT (-122.40386315 37.778992094),South of Market,POINT (-122.40386315 37.77899209)
1135,16666188,"65 9TH ST, SAN FRANCISCO, CA, 94103",9TH ST,South of Market,"(37.7767715, -122.4150038)",POINT (-122.4150038 37.7767715),South of Market,POINT (-122.4150038 37.7767715)
1148,16668589,"1151 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.778183, -122.411975)",POINT (-122.411975 37.778183),South of Market,POINT (-122.411975 37.778183)
1153,16655098,"15 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,South of Market,"(37.77737471, -122.40971589)",POINT (-122.409715894 37.777374712),South of Market,POINT (-122.40971589 37.77737471)
1155,16656988,"256 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.77887327, -122.40412323)",POINT (-122.404123231 37.778873267),South of Market,POINT (-122.40412323 37.77887327)
1163,16658155,"1000 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7809323, -122.4089214)",POINT (-122.4089214 37.7809323),South of Market,POINT (-122.4089214 37.7809323)
1171,16655114,"1028 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7793247, -122.4078449)",POINT (-122.4078449 37.7793247),South of Market,POINT (-122.4078449 37.7793247)
1172,16661295,"165 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77816834, -122.40728537)",POINT (-122.407285369 37.778168339),South of Market,POINT (-122.40728537 37.77816834)
1182,16654242,"112 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.7789376, -122.4106478)",POINT (-122.4106478 37.7789376),South of Market,POINT (-122.4106478 37.7789376)
1203,16655633,Intersection of 6TH ST and MISSION ST,6TH ST,South of Market,"(37.78097845, -122.40872383)",POINT (-122.40872383 37.78097845),South of Market,POINT (-122.40872383 37.78097845)
1207,16686138,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77245328, -122.40652696)",POINT (-122.406526958 37.772453278),South of Market,POINT (-122.40652696 37.77245328)
1208,16681294,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77819973, -122.41186671)",POINT (-122.41186671 37.77819973),South of Market,POINT (-122.41186671 37.77819973)
1235,16682553,"1147 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7783834, -122.4119929)",POINT (-122.4119929 37.7783834),South of Market,POINT (-122.4119929 37.7783834)
1248,16687265,"1004 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78082873, -122.40907989)",POINT (-122.40907989 37.78082873),South of Market,POINT (-122.40907989 37.78082873)
1252,16681537,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77224086, -122.40646813)",POINT (-122.40646813 37.77224086),South of Market,POINT (-122.40646813 37.77224086)
1258,16675023,"40 CLEVELAND ST, SAN FRANCISCO, CA, 94103",CLEVELAND ST,South of Market,"(37.77657792, -122.40690784)",POINT (-122.40690784 37.776577921),South of Market,POINT (-122.40690784 37.77657792)
1264,16673334,"654 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.7778176, -122.41166862)",POINT (-122.411668616 37.777817604),South of Market,POINT (-122.41166862 37.7778176)
1278,16681554,"1270 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77666378, -122.41431657)",POINT (-122.41431657 37.77666378),South of Market,POINT (-122.41431657 37.77666378)
1285,16675898,Intersection of 7TH ST and HOWARD ST,7TH ST,South of Market,"(37.7778775, -122.4091792)",POINT (-122.4091792 37.7778775),South of Market,POINT (-122.4091792 37.7778775)
1302,16682012,"1151 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77824754, -122.41194643)",POINT (-122.411946434 37.778247542),South of Market,POINT (-122.41194643 37.77824754)
1308,16684114,"1036 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.779298, -122.4079244)",POINT (-122.4079244 37.779298),South of Market,POINT (-122.4079244 37.779298)
1309,16680661,"498 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78065649, -122.40816224)",POINT (-122.40816224 37.78065649),South of Market,POINT (-122.40816224 37.78065649)
1320,16682623,"1208 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77615191, -122.41183523)",POINT (-122.411835231 37.776151907),South of Market,POINT (-122.41183523 37.77615191)
1330,16674712,"220 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77782577, -122.40914802)",POINT (-122.409148022 37.777825769),South of Market,POINT (-122.40914802 37.77782577)
1338,16679368,"1000 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77709818, -122.40440978)",POINT (-122.404409775 37.777098183),South of Market,POINT (-122.40440978 37.77709818)
1343,16679537,"621 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77826389, -122.41093333)",POINT (-122.41093333 37.77826389),South of Market,POINT (-122.41093333 37.77826389)
1345,16675048,"25 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77945581, -122.40887538)",POINT (-122.40887538 37.77945581),South of Market,POINT (-122.40887538 37.77945581)
1348,16680512,Intersection of 7TH ST and HOWARD ST,7TH ST,South of Market,"(37.7779552, -122.409301)",POINT (-122.409301 37.7779552),South of Market,POINT (-122.409301 37.7779552)
1350,16681023,"580 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77878405, -122.40955029)",POINT (-122.40955029 37.77878405),South of Market,POINT (-122.40955029 37.77878405)
1353,16684532,"1009 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78054996, -122.40886699)",POINT (-122.40886699 37.78054996),South of Market,POINT (-122.40886699 37.78054996)
1360,16688345,"724 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,South of Market,"(37.7744359, -122.4022873)",POINT (-122.4022873 37.7744359),South of Market,POINT (-122.4022873 37.7744359)
1364,16678036,"230 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77759412, -122.40900586)",POINT (-122.409005865 37.777594123),South of Market,POINT (-122.40900586 37.77759412)
1365,16677891,Intersection of 7TH ST and HOWARD ST,7TH ST,South of Market,"(37.77784957, -122.40942069)",POINT (-122.409420689 37.777849566),South of Market,POINT (-122.40942069 37.77784957)
1366,16685632,"169 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.7784998, -122.4095855)",POINT (-122.4095855 37.7784998),South of Market,POINT (-122.4095855 37.7784998)
1371,16674500,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77215499, -122.40644667)",POINT (-122.406446672 37.772154994),South of Market,POINT (-122.40644667 37.77215499)
1373,16671498,Intersection of 8TH ST and I-80 W OFF RAMP,8TH ST,South of Market,"(37.77360882, -122.4081674)",POINT (-122.408167401 37.773608822),South of Market,POINT (-122.4081674 37.77360882)
1387,16681007,"580 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77878405, -122.40955029)",POINT (-122.40955029 37.77878405),South of Market,POINT (-122.40955029 37.77878405)
1392,16680556,"1141 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.77967371, -122.41334343)",POINT (-122.413343434 37.779673713),South of Market,POINT (-122.41334343 37.77967371)
1393,16684120,Intersection of HARRIET ST and HOWARD ST,HARRIET ST,South of Market,"(37.7792607, -122.4077891)",POINT (-122.4077891 37.7792607),South of Market,POINT (-122.4077891 37.7792607)
1400,16683972,Intersection of 5TH ST and JESSIE ST,5TH ST,South of Market,"(37.78322859, -122.40701718)",POINT (-122.40701718 37.783228586),South of Market,POINT (-122.40701718 37.78322859)
1415,16672287,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77877, -122.40979667)",POINT (-122.409796667 37.77877),South of Market,POINT (-122.40979667 37.77877)
1416,16677226,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77226683, -122.40648556)",POINT (-122.406485564 37.772266832),South of Market,POINT (-122.40648556 37.77226683)
